instanceName;variantName;category;runMode;neighborhood;isBaseline;multiStartCount;maxIterations;timeLimitSeconds;initialRule;initialCmax;bestCmax;improvementPercent;runtimeSeconds;stopReason;iterations;generatedMoves;estimatedMoves;exactEvaluations;feasibleCandidates;infeasibleCandidates;tabuRejectedMoves;appliedMoves;improvements;restartEnabled;restartThreshold;restartPerturbationMoves;restarts;successfulRestarts;fallbackRestarts;restartSuccessRate;frequencyPenaltyEnabled;lowPenaltyRate;mediumPenaltyRate;highPenaltyRate;maxExactEvaluationsPerIteration;tabuMinTenureFactor;tabuMaxTenureFactor
ClassroomInstanceSet3_1;Baseline_Top20;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;true;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0003;TimeLimitReached;196930;4402847;4402847;3207367;3076651;130716;424949;196925;8;true;1025;3;191;2;0;0,0105;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet3_1;FixedExact_50;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0000;TimeLimitReached;165159;3653208;3653208;3645202;3205074;440128;363351;165155;8;true;1025;3;160;0;0;0,0000;true;0,0050;0,0150;0,0300;50;0,8000;1,2000
ClassroomInstanceSet3_1;FixedExact_100;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0000;TimeLimitReached;166418;3665898;3665898;3665893;3221081;444812;366755;166414;8;true;1025;3;162;0;0;0,0000;true;0,0050;0,0150;0,0300;100;0,8000;1,2000
ClassroomInstanceSet3_1;FixedExact_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0000;TimeLimitReached;158558;3485416;3485416;3485399;3064218;421181;349396;158554;8;true;1025;3;154;0;0;0,0000;true;0,0050;0,0150;0,0300;200;0,8000;1,2000
ClassroomInstanceSet3_1;AdaptiveExact_50_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0000;TimeLimitReached;164457;3634536;3634536;3631656;3191627;440029;361840;164453;8;true;1025;3;160;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet6_1;Baseline_Top20;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;true;1;120000;90;LRPT;1775;1527;13,9718;90,0000;TimeLimitReached;40600;1766327;1766327;803001;777506;25495;106245;40599;40;true;3750;7;10;6;9;0,6000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet6_1;FixedExact_50;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;120000;90;LRPT;1775;1492;15,9437;90,0001;TimeLimitReached;23948;1071738;1071738;918960;831720;87240;66475;23947;46;true;3750;7;6;2;4;0,3333;true;0,0050;0,0150;0,0300;50;0,8000;1,2000
ClassroomInstanceSet6_1;FixedExact_100;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;120000;90;LRPT;1775;1497;15,6620;90,0000;TimeLimitReached;22228;964534;964534;956736;805494;151242;61895;22227;52;true;3750;7;5;3;5;0,6000;true;0,0050;0,0150;0,0300;100;0,8000;1,2000
ClassroomInstanceSet6_1;FixedExact_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;120000;90;LRPT;1775;1497;15,6620;90,0000;TimeLimitReached;22196;963407;963407;963378;805207;158171;61839;22195;52;true;3750;7;5;3;5;0,6000;true;0,0050;0,0150;0,0300;200;0,8000;1,2000
ClassroomInstanceSet6_1;AdaptiveExact_50_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;120000;90;LRPT;1775;1480;16,6197;90,0001;TimeLimitReached;22271;997205;997205;940158;812560;127598;61402;22270;55;true;3750;7;5;4;4;0,8000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet10_3;Baseline_Top20;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;true;1;20000;90;LRPT;3729;3383;9,2786;90,0001;TimeLimitReached;7434;999691;999691;148664;147711;953;20911;7433;86;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet10_3;FixedExact_50;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;20000;90;LRPT;3729;3214;13,8107;90,0003;TimeLimitReached;3673;513996;513996;183613;182463;1150;14556;3672;145;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;50;0,8000;1,2000
ClassroomInstanceSet10_3;FixedExact_100;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;20000;90;LRPT;3729;3195;14,3202;90,0001;TimeLimitReached;1959;359202;359202;194118;185651;8467;9647;1958;140;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;100;0,8000;1,2000
ClassroomInstanceSet10_3;FixedExact_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;20000;90;LRPT;3729;3204;14,0788;90,0002;TimeLimitReached;1292;272481;272481;216378;174624;41754;7404;1291;142;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;200;0,8000;1,2000
ClassroomInstanceSet10_3;AdaptiveExact_50_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;20000;90;LRPT;3729;3196;14,2934;90,0003;TimeLimitReached;2331;367509;367509;199127;185202;13925;11332;2330;158;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
TeamF_Instance5;Baseline_Top20;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;true;1;80000;90;SetupAwareLRPT;1783;1552;12,9557;90,0000;TimeLimitReached;27343;1318447;1318447;539685;525792;13893;79611;27342;35;true;5400;10;4;2;3;0,5000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
TeamF_Instance5;FixedExact_50;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;80000;90;SetupAwareLRPT;1783;1538;13,7409;90,0002;TimeLimitReached;16204;805357;805357;614710;561873;52837;54305;16203;41;true;5400;10;2;0;2;0,0000;true;0,0050;0,0150;0,0300;50;0,8000;1,2000
TeamF_Instance5;FixedExact_100;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;80000;90;SetupAwareLRPT;1783;1582;11,2731;90,0001;TimeLimitReached;12266;699507;699507;656834;537089;119745;43188;12265;35;true;5400;10;2;2;1;1,0000;true;0,0050;0,0150;0,0300;100;0,8000;1,2000
TeamF_Instance5;FixedExact_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;80000;90;SetupAwareLRPT;1783;1593;10,6562;90,0001;TimeLimitReached;11876;667831;667831;667758;521302;146456;41398;11875;30;true;5400;10;2;2;1;1,0000;true;0,0050;0,0150;0,0300;200;0,8000;1,2000
TeamF_Instance5;AdaptiveExact_50_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;80000;90;SetupAwareLRPT;1783;1584;11,1610;90,0001;TimeLimitReached;14023;721435;721435;646784;545181;101603;47780;14022;32;true;5400;10;2;0;2;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
TeamA_3;Baseline_Top20;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;true;1;10000;90;SetupAwareLRPT;6258;6230;0,4474;90,0036;TimeLimitReached;3888;5690792;5690792;77740;77738;2;21064;3887;8;true;20000;40;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
TeamA_3;FixedExact_50;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;10000;90;SetupAwareLRPT;6258;6160;1,5660;90,0005;TimeLimitReached;2032;3302651;3302651;101563;101563;0;14774;2031;24;true;20000;40;0;0;0;0,0000;true;0,0050;0,0150;0,0300;50;0,8000;1,2000
TeamA_3;FixedExact_100;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;10000;90;SetupAwareLRPT;6258;6075;2,9243;90,0001;TimeLimitReached;1129;2040874;2040874;112816;112807;9;11943;1128;56;true;20000;40;0;0;0;0,0000;true;0,0050;0,0150;0,0300;100;0,8000;1,2000
TeamA_3;FixedExact_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;10000;90;SetupAwareLRPT;6258;5978;4,4743;90,0009;TimeLimitReached;601;1273785;1273785;120165;120085;80;6170;600;102;true;20000;40;0;0;0;0,0000;true;0,0050;0,0150;0,0300;200;0,8000;1,2000
TeamA_3;AdaptiveExact_50_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;10000;90;SetupAwareLRPT;6258;5978;4,4743;90,0005;TimeLimitReached;602;1275348;1275348;120208;120128;80;6172;601;102;true;20000;40;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
TeamB_1;Baseline_Top20;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;true;1;8000;90;SetupAwareLRPT;3938;3745;4,9010;90,0006;TimeLimitReached;1194;136979;136979;23866;23864;2;6628;1193;80;true;57275;114;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
TeamB_1;FixedExact_50;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;8000;90;SetupAwareLRPT;3938;3625;7,9482;90,0014;TimeLimitReached;587;71646;71646;29056;28972;84;2894;586;114;true;57275;114;0;0;0;0,0000;true;0,0050;0,0150;0,0300;50;0,8000;1,2000
TeamB_1;FixedExact_100;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;8000;90;SetupAwareLRPT;3938;3678;6,6023;90,0020;TimeLimitReached;359;40237;40237;30889;30325;564;1977;358;80;true;57275;114;0;0;0;0,0000;true;0,0050;0,0150;0,0300;100;0,8000;1,2000
TeamB_1;FixedExact_200;AdaptiveExactEvaluation;90s;AllPairSwapNeighborhood;false;1;8000;90;SetupAwareLRPT;3938;3687;6,3738;90,0158;TimeLimitReached;291;32548;32548;31594;29488;2106;1502;290;77;true;57275;114;0;0;0;0,0000;true;0,0050;0,0150;0,0300;200;0,8000;1,2000
