instanceName;variantName;category;runMode;neighborhood;isBaseline;multiStartCount;maxIterations;timeLimitSeconds;initialRule;initialCmax;bestCmax;improvementPercent;runtimeSeconds;stopReason;iterations;generatedMoves;estimatedMoves;exactEvaluations;feasibleCandidates;infeasibleCandidates;tabuRejectedMoves;appliedMoves;improvements;restartEnabled;restartThreshold;restartPerturbationMoves;restarts;successfulRestarts;fallbackRestarts;restartSuccessRate;frequencyPenaltyEnabled;lowPenaltyRate;mediumPenaltyRate;highPenaltyRate;maxExactEvaluationsPerIteration;tabuMinTenureFactor;tabuMaxTenureFactor
ClassroomInstanceSet3_1;Estimate_Top20;MoveSelection;90s;AllPairSwapNeighborhood;true;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0003;TimeLimitReached;186653;4177197;4177197;3040634;2916775;123859;402431;186648;8;true;1025;3;181;2;0;0,0110;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet3_1;NoEstimate_AllExact;MoveSelection;90s;AllPairSwapNeighborhood;false;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0000;TimeLimitReached;160349;3549338;0;3549338;3115969;433369;352523;160348;11;true;1025;3;155;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet3_1;NoEstimate_Random20;MoveSelection;90s;AllPairSwapNeighborhood;false;1;250000;90;SetupAwareLRPT;687;627;8,7336;90,0000;TimeLimitReached;206003;4501646;0;3356319;3049357;306962;386034;205998;9;true;1025;3;200;1;0;0,0050;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet6_1;Estimate_Top20;MoveSelection;90s;AllPairSwapNeighborhood;true;1;120000;90;LRPT;1775;1527;13,9718;90,0000;TimeLimitReached;38552;1687362;1687362;762892;738224;24668;100248;38551;40;true;3750;7;9;6;8;0,6667;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet6_1;NoEstimate_AllExact;MoveSelection;90s;AllPairSwapNeighborhood;false;1;120000;90;LRPT;1775;1527;13,9718;90,0001;TimeLimitReached;20350;930373;0;930373;754344;176029;57481;20349;40;true;3750;7;5;1;5;0,2000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet6_1;NoEstimate_Random20;MoveSelection;90s;AllPairSwapNeighborhood;false;1;120000;90;LRPT;1775;1543;13,0704;90,0001;TimeLimitReached;40995;1704655;0;810087;722594;87493;66805;40994;26;true;3750;7;10;5;9;0,5000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet10_3;Estimate_Top20;MoveSelection;90s;AllPairSwapNeighborhood;true;1;20000;90;LRPT;3729;3383;9,2786;90,0002;TimeLimitReached;7246;974939;974939;144907;144045;862;20551;7245;86;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet10_3;NoEstimate_AllExact;MoveSelection;90s;AllPairSwapNeighborhood;false;1;20000;90;LRPT;3729;3217;13,7302;90,0005;TimeLimitReached;1046;229941;0;229879;153506;76373;6122;1045;133;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet10_3;NoEstimate_Random20;MoveSelection;90s;AllPairSwapNeighborhood;false;1;20000;90;LRPT;3729;3353;10,0831;90,0005;TimeLimitReached;7406;887528;0;148116;132958;15158;6735;7405;65;true;15000;30;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
TeamF_Instance5;Estimate_Top20;MoveSelection;90s;AllPairSwapNeighborhood;true;1;80000;90;SetupAwareLRPT;1783;1552;12,9557;90,0000;TimeLimitReached;25944;1267722;1267722;512156;498950;13206;75790;25943;35;true;5400;10;4;2;3;0,5000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
