instanceName;variantName;category;runMode;neighborhood;isBaseline;multiStartCount;maxIterations;timeLimitSeconds;initialRule;initialCmax;bestCmax;improvementPercent;runtimeSeconds;stopReason;iterations;generatedMoves;estimatedMoves;exactEvaluations;feasibleCandidates;infeasibleCandidates;tabuRejectedMoves;appliedMoves;improvements;restartEnabled;restartThreshold;restartPerturbationMoves;restarts;successfulRestarts;fallbackRestarts;restartSuccessRate;frequencyPenaltyEnabled;lowPenaltyRate;mediumPenaltyRate;highPenaltyRate;maxExactEvaluationsPerIteration;tabuMinTenureFactor;tabuMaxTenureFactor
ClassroomInstanceSet1_1;Baseline_N3;Baseline;90s;AllPairSwapNeighborhood;true;1;250000;90;LRPT;513;461;10,1365;19,4662;MaxIterationsReached;250000;1952040;1952040;1951592;1742792;208800;392416;249927;2;true;300;3;833;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Restart_Off;Restart;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;16,4909;MaxIterationsReached;250000;1955869;1955869;1955735;1752111;203624;395371;249922;2;false;0;0;0;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Restart_x10;Restart;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;16,8194;MaxIterationsReached;250000;2004691;2004691;2004334;1752986;251348;397756;249980;2;true;120;3;2082;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Restart_x50;Restart;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;16,6594;MaxIterationsReached;250000;1981091;1981091;1980299;1760688;219611;398607;249878;2;true;600;3;416;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Restart_x100;Restart;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;16,3433;MaxIterationsReached;250000;1967237;1967237;1966878;1751943;214935;398260;249952;2;true;1200;3;208;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Perturb_Weak;Restart;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;16,2065;MaxIterationsReached;250000;1952040;1952040;1951592;1742792;208800;392416;249927;2;true;300;3;833;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Perturb_Strong;Restart;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;16,4011;MaxIterationsReached;250000;1980445;1980445;1980296;1738200;242096;396480;249998;2;true;300;5;833;0;0;0,0000;true;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Penalty_Off;FrequencyPenalty;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;19,1440;MaxIterationsReached;250000;2466611;2466611;2466611;1978299;488312;432418;250000;2;true;300;3;833;0;0;0,0000;false;0,0050;0,0150;0,0300;20;0,8000;1,2000
ClassroomInstanceSet1_1;Penalty_Weak;FrequencyPenalty;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;16,9577;MaxIterationsReached;250000;2050988;2050988;2048709;1793124;255585;382565;249854;2;true;300;3;833;0;0;0,0000;true;0,0020;0,0050;0,0100;20;0,8000;1,2000
ClassroomInstanceSet1_1;Penalty_Strong;FrequencyPenalty;90s;AllPairSwapNeighborhood;false;1;250000;90;LRPT;513;461;10,1365;17,8461;MaxIterationsReached;250000;1978508;1978508;1978383;1738785;239598;392414;249943;2;true;300;3;833;0;0;0,0000;true;0,0100;0,0300;0,0500;20;0,8000;1,2000
