instanceName;algorithm;status;objVal;compTime
ClassroomInstanceSet1_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;461;16,53
ClassroomInstanceSet1_1;Team F Tabu Search (90s);Feasible;461;15,89
ClassroomInstanceSet1_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;296;12,27
ClassroomInstanceSet1_2;Team F Tabu Search (90s);Feasible;296;12,13
ClassroomInstanceSet1_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;353;12,09
ClassroomInstanceSet1_3;Team F Tabu Search (90s);Feasible;353;11,87
ClassroomInstanceSet2_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;615;46,59
ClassroomInstanceSet2_1;Team F Tabu Search (90s);Feasible;615;48,01
ClassroomInstanceSet2_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;568;43,15
ClassroomInstanceSet2_2;Team F Tabu Search (90s);Feasible;568;43,45
ClassroomInstanceSet2_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;623;43,08
ClassroomInstanceSet2_3;Team F Tabu Search (90s);Feasible;623;42,96
ClassroomInstanceSet3_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;627;102,97
ClassroomInstanceSet3_1;Team F Tabu Search (90s);Feasible;627;90,00
ClassroomInstanceSet3_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;633;92,94
ClassroomInstanceSet3_2;Team F Tabu Search (90s);Feasible;633;90,00
ClassroomInstanceSet3_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;837;122,65
ClassroomInstanceSet3_3;Team F Tabu Search (90s);Feasible;837;90,00
ClassroomInstanceSet4_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;860;139,41
ClassroomInstanceSet4_1;Team F Tabu Search (90s);Feasible;860;90,00
ClassroomInstanceSet4_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;870;144,16
ClassroomInstanceSet4_2;Team F Tabu Search (90s);Feasible;876;90,00
ClassroomInstanceSet4_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;768;140,56
ClassroomInstanceSet4_3;Team F Tabu Search (90s);Feasible;768;90,00
ClassroomInstanceSet5_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;1126;144,82
ClassroomInstanceSet5_1;Team F Tabu Search (90s);Feasible;1126;90,00
ClassroomInstanceSet5_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;1053;161,53
ClassroomInstanceSet5_2;Team F Tabu Search (90s);Feasible;1053;90,00
ClassroomInstanceSet5_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;1157;187,81
ClassroomInstanceSet5_3;Team F Tabu Search (90s);Feasible;1157;90,00
ClassroomInstanceSet6_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;1503;249,73
ClassroomInstanceSet6_1;Team F Tabu Search (90s);Feasible;1527;90,00
ClassroomInstanceSet6_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;1439;252,41
ClassroomInstanceSet6_2;Team F Tabu Search (90s);Feasible;1452;90,00
ClassroomInstanceSet6_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;1488;190,80
ClassroomInstanceSet6_3;Team F Tabu Search (90s);Feasible;1488;90,00
ClassroomInstanceSet7_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;1653;293,28
ClassroomInstanceSet7_1;Team F Tabu Search (90s);Feasible;1679;90,00
ClassroomInstanceSet7_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;1782;300,00
ClassroomInstanceSet7_2;Team F Tabu Search (90s);Feasible;1782;90,00
ClassroomInstanceSet7_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;1738;300,00
ClassroomInstanceSet7_3;Team F Tabu Search (90s);Feasible;1745;90,00
ClassroomInstanceSet8_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;2073;300,00
ClassroomInstanceSet8_1;Team F Tabu Search (90s);Feasible;2082;90,00
ClassroomInstanceSet8_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;2160;300,00
ClassroomInstanceSet8_2;Team F Tabu Search (90s);Feasible;2166;90,00
ClassroomInstanceSet8_3;Team F Tabu Search (Ohne Zeitlimit);Feasible;2153;300,00
ClassroomInstanceSet8_3;Team F Tabu Search (90s);Feasible;2154;90,00
ClassroomInstanceSet9_1;Team F Tabu Search (Ohne Zeitlimit);Feasible;2405;280,94
ClassroomInstanceSet9_1;Team F Tabu Search (90s);Feasible;2405;90,00
ClassroomInstanceSet9_2;Team F Tabu Search (Ohne Zeitlimit);Feasible;2443;284,21
